Organization_A,Organization_B,Initiative_A,Initiative_B,Similarity_Score,Cluster_A,Cluster_B,Same_Cluster
José Luis Rajab,José Luis Rajab_1,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.9999998,4,4,True
Agroecology Europe,Egmont - Royal Institute for International Relations,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.8388455,3,3,True
Egmont - Royal Institute for International Relations,Office of the Government and Government of the Republic of Lithuania and Strategic Analysis Center S,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.8230482,3,1,False
Agroecology Europe,EU-LIFE - Alliance of Independent Research Institutes in the Life Sciences in Europe,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.7994833,3,3,True
Egmont - Royal Institute for International Relations,EuroStack Project,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.79710567,3,3,True
Egmont - Royal Institute for International Relations,EU-LIFE - Alliance of Independent Research Institutes in the Life Sciences in Europe,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.79701644,3,3,True
Anonymous,Office of the Government and Government of the Republic of Lithuania and Strategic Analysis Center S,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.7953635,1,1,True
Egmont - Royal Institute for International Relations,Ioannis Lamprou,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.7947204,3,3,True
Egmont - Royal Institute for International Relations,TNO,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.79242194,3,3,True
Ioannis Lamprou,Office of the Government and Government of the Republic of Lithuania and Strategic Analysis Center S,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.7891324,3,1,False
Ioannis Lamprou,TNO,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.77891904,3,3,True
Bankenverband,Egmont - Royal Institute for International Relations,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.77047634,3,3,True
Office of the Government and Government of the Republic of Lithuania and Strategic Analysis Center S,Transfer Pricing Services SRL,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.75942194,1,1,True
ECOLAB,SUEZ,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.7590115,2,2,True
Bankenverband,Office of the Government and Government of the Republic of Lithuania and Strategic Analysis Center S,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.7521833,3,1,False
Agroecology Europe,Office of the Government and Government of the Republic of Lithuania and Strategic Analysis Center S,2025 Strategic Foresight Report,2025 Strategic Foresight Report,0.7511227,3,1,False
