CFG_Submission,CFG_Initiative,CFG_Cluster,Compared_Organization,Compared_Initiative,Compared_Cluster,Similarity_Score,Same_Cluster
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Orgalim - Europes Technology Industries,Evaluation and Revision of the Chips Act Chips Act 20,3,0.7940976619720459,True
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Federation of German Industries BDI,Evaluation and Revision of the Chips Act Chips Act 20,3,0.7816842794418335,True
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Technology Industries of Finland,Evaluation and Revision of the Chips Act Chips Act 20,3,0.7642251253128052,True
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,DIGITALEUROPE,Evaluation and Revision of the Chips Act Chips Act 20,3,0.7610867023468018,True
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Jordan Leung,Evaluation and Revision of the Chips Act Chips Act 20,3,0.7506579160690308,True
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,University of Zurihc,Evaluation and Revision of the Chips Act Chips Act 20,3,0.7359908223152161,True
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Quintauris,Evaluation and Revision of the Chips Act Chips Act 20,3,0.7287330627441406,True
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,The Danish Ministry of Industry Business and Financial Affairs,Evaluation and Revision of the Chips Act Chips Act 20,3,0.7271578311920166,True
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Robert Bosch GmbH,Evaluation and Revision of the Chips Act Chips Act 20,3,0.7206142544746399,True
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Airbus,Evaluation and Revision of the Chips Act Chips Act 20,3,0.7190243601799011,True
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Eurocircuits,Evaluation and Revision of the Chips Act Chips Act 20,3,0.7173497676849365,True
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Anonymous_2,Evaluation and Revision of the Chips Act Chips Act 20,3,0.7124584913253784,True
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,industriAll European Trade Union,Evaluation and Revision of the Chips Act Chips Act 20,3,0.7053709030151367,True
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Centre for a Digital Society at the Robert Schuman Centre for Advanced Studies European University I,Evaluation and Revision of the Chips Act Chips Act 20,3,0.6962460279464722,True
Centre for Future Generations,Evaluation and Revision of the Chips Act Chips Act 20,3,Qualcomm,Evaluation and Revision of the Chips Act Chips Act 20,3,0.6937892436981201,True
