Cluster_ID,Size,Average_Intra_Cluster_Similarity,Organizations
3,50,0.6677840948104858,"Acció - the Catalan Government agency for business competitiveness, AESEMI Asociacion Española de la Industria de Semiconductores, Airbus, Andre REBENTISCH, Anonymous_2, Arm, AUMOVIO SE, Austrian Federal Economic Chamber, Brabant Development Agency BOM, CCI Dresden"
7,46,0.5919215679168701,"Aalto University, Adeon Technologies BV, Aerospace Valley, Air Liquide, Aktantis, Anonymous_1, Anonymous_8, ASP Equipment GmbH, Bavarian Ministry of Economic Affairs Regional Development and Energy, Cimulec Group"
0,41,0.5299939513206482,"Simon Önnered, Aarhus University Department of Electrical  Computer Engineering, Andreas KOCH, Anonymous_4, Anonymous_5, APTE, Axis Communications, CLEPA - European Association of Automotive Suppliers, CSEM, Didier Theron"
9,18,0.4903143644332886,"AFNUM, Anonymous_3, Anonymous_7, CEA, CIMULEC Group_1, CIRLY, dallco sas, Deutsche Industrie- und Handelskammer, IDEE ECONOMICHE di MARCO BAVA, Information et défense des consommateurs salariés  Confédération générale du travail"
1,8,0.4787689745426178,"Anonymous_8, Ivana Nemčicová, Joni Suikeli, Kansaneläkelaitos Kela, Anonymous, Dagmar Mištinová, Michal Hrasna, Region Skåne"
6,31,0.4679419696331024,"Adrien Cadiot EI, Andre REBENTISCH, Anonymous, Anonymous_3, Anonymous_5, Bankenverband, bert hubert, David Van Geert, Davy Anthonissen, EuroStack Project"
5,45,0.4599158763885498,"Fraunhofer IAO, 75inQ, Aledia, ALMAE TECHNOLOGIES SAS, Anonymous_6, CERN the European Organization for Nuclear Research, ChipsWIN Imagine Microelectronics srl, CSEM_1, Ecole des Mines de Saint-Etienne, Eindhoven University of Technology"
8,13,0.4247508943080902,"Anonymous_1, Anonymous_11, Anonymous_4, Anonymous_6, Anonymous_9, Antonio Mincarini, Esteban Carlos Borzino, Francisco José Viturro Barreiro, Gaël QUEINNEC, José Luis Rajab"
10,19,0.40550696849823,"Agroecology Europe, Anonymous_10, ASOCIACION INDUSTRIAL DE CANARIAS ASINCA, Association internationale Futuribles, CHEM Trust, ECOLAB, Egmont - Royal Institute for International Relations, EU-LIFE - Alliance of Independent Research Institutes in the Life Sciences in Europe, Instituto Nacional de Administração IP Portugal, Juan Bartolomé García Martínez"
4,7,0.3093152642250061,"EUPHA European Public Health Association, GROUPE VYV, Matthew Spaniol, Negar RIAHI, The Centre for Future Generations, European Quantum Industry Consortium eV QuIC, The Good Lobby HUB Spain"
2,5,0.28968507051467896,"AMALIA MARIA KOUTSOGIANNI, Anonymous_2, Anonymous_7, FutuRes Towards a Resilient Future of Europe Horizon Europe funded project, Special Secretariat of Foresight"
